0	(1169, 0.99406278), (2530, 0.99026489), (2501, 0.98954022), (2513, 0.98816967), (2029, 0.98758078), (3853, 0.98732179), (4501, 0.98677349), (2052, 0.98649454), (4028, 0.9863162), (867, 0.98359412), (4987, 0.98334706), (2060, 0.9828496), (1534, 0.98277938), (4816, 0.98243737), (3225, 0.98221868), (249, 0.98207855), (43, 0.98178685), (1182, 0.9817698), (220, 0.98115027), (1202, 0.98070836)
1	(2675, 0.99358845), (2926, 0.9883548), (2083, 0.9823975), (4362, 0.9816193), (1891, 0.98127365), (4985, 0.9803974), (347, 0.98036194), (2193, 0.97892469), (4855, 0.97732341), (4866, 0.97712815), (4902, 0.97636682), (1809, 0.97605622), (4113, 0.97492719), (2862, 0.97391927), (447, 0.97343957), (732, 0.97284484), (823, 0.97107589), (2274, 0.97076023), (3927, 0.97034252), (798, 0.96962249)
2	(2685, 0.98192692), (2197, 0.97998309), (796, 0.97806919), (2143, 0.97626793), (2286, 0.9742595), (3045, 0.97113907), (3997, 0.97100949), (3114, 0.96677774), (459, 0.96405864), (2241, 0.96404016), (3679, 0.96319473), (4344, 0.96182466), (3163, 0.96150935), (2341, 0.96142113), (385, 0.96102846), (3093, 0.96036631), (1439, 0.96027696), (1888, 0.95839167), (1278, 0.95801699), (3421, 0.95783341)
3	(1394, 0.99313986), (1242, 0.9900015), (3799, 0.98989439), (689, 0.98973256), (3967, 0.98926371), (173, 0.9887625), (4774, 0.98828852), (3343, 0.98821962), (895, 0.98736048), (4244, 0.98723418), (1828, 0.98719883), (166, 0.98661512), (1327, 0.98651659), (2519, 0.98650897), (4704, 0.98639381), (3924, 0.98635173), (3389, 0.98573577), (490, 0.98564917), (4734, 0.98558569), (1040, 0.98519772)
4	(972, 0.99394512), (735, 0.99377191), (2038, 0.99371225), (555, 0.99047369), (69, 0.98999017), (4620, 0.98974878), (3147, 0.98958158), (1249, 0.98948032), (1073, 0.98933572), (606, 0.98902833), (299, 0.98869938), (630, 0.98844063), (2389, 0.98834157), (769, 0.9876368), (2974, 0.98741788), (973, 0.98736835), (2518, 0.98721397), (599, 0.98702347), (1917, 0.98681533), (1933, 0.98635519)
5	(3227, 0.98959959), (3151, 0.98505223), (140, 0.98492432), (4948, 0.98487335), (4770, 0.98461336), (1883, 0.98368382), (1221, 0.98313802), (932, 0.98294288), (2777, 0.98228329), (1469, 0.98210722), (3877, 0.98194516), (1901, 0.98193049), (460, 0.98165572), (4797, 0.98122013), (3823, 0.9811213), (2327, 0.98092163), (2751, 0.98020434), (1911, 0.9799515), (3501, 0.97968942), (4080, 0.97922564)
6	(1281, 0.991714), (878, 0.98542774), (1498, 0.98050714), (3124, 0.9802348), (1248, 0.97801459), (2632, 0.97414762), (577, 0.97263867), (4758, 0.97188735), (2166, 0.97052681), (2912, 0.97051954), (3702, 0.9687537), (2649, 0.96843374), (1098, 0.96762395), (2835, 0.96621454), (1714, 0.96576214), (848, 0.96553349), (1074, 0.96522003), (1938, 0.96487796), (4547, 0.96462131), (730, 0.96397758)
7	(4849, 0.99768269), (295, 0.99669385), (1870, 0.99589139), (3121, 0.99557567), (1264, 0.99439597), (4582, 0.99388176), (2760, 0.99364603), (1013, 0.99360126), (540, 0.9931978), (3717, 0.9931519), (3806, 0.99254072), (3561, 0.99236357), (651, 0.99177814), (2330, 0.99147451), (3638, 0.99140382), (52, 0.99132609), (438, 0.99123418), (4077, 0.99119282), (4725, 0.99091208), (1053, 0.99079919)
8	(2120, 0.98395693), (3656, 0.98249102), (2736, 0.97924167), (2565, 0.97904229), (3995, 0.97793829), (274, 0.97717601), (1134, 0.97714651), (3152, 0.97660583), (3244, 0.97658342), (1064, 0.97645688), (3355, 0.97640753), (729, 0.97581393), (1113, 0.97545385), (657, 0.97535598), (3560, 0.9752425), (580, 0.97522742), (3330, 0.97514516), (2428, 0.97463381), (1007, 0.97434741), (4542, 0.97432971)
9	(3832, 0.99537778), (1505, 0.98801231), (4461, 0.98555309), (1957, 0.98335147), (2131, 0.9832741), (568, 0.98088551), (3176, 0.98073781), (1572, 0.98066783), (2249, 0.97997636), (2993, 0.97967172), (1337, 0.97924006), (4506, 0.97905195), (1994, 0.97870874), (3939, 0.97866333), (441, 0.97849131), (907, 0.97824585), (2654, 0.97750872), (678, 0.9774853), (1831, 0.97711062), (1141, 0.97664547)
10	(4868, 0.99483407), (2073, 0.994802), (4839, 0.99427879), (3373, 0.99404013), (1256, 0.99379337), (650, 0.99326366), (4090, 0.99276382), (3765, 0.99158192), (945, 0.99140239), (3268, 0.99047601), (627, 0.99039423), (1447, 0.98971856), (4327, 0.98944139), (2994, 0.98936474), (2600, 0.98921192), (4720, 0.98918146), (4636, 0.9889226), (261, 0.98885405), (4903, 0.98850876), (1854, 0.9882679)
11	(1399, 0.99881923), (1279, 0.99636662), (3032, 0.99628508), (993, 0.99591565), (3221, 0.99510664), (3235, 0.99487925), (3436, 0.99478447), (1343, 0.99364173), (3180, 0.99353653), (1063, 0.99352616), (32, 0.99338615), (3677, 0.99307823), (4856, 0.99306989), (4504, 0.99299711), (2365, 0.99274415), (2150, 0.99224782), (1709, 0.99212039), (4710, 0.99203253), (1575, 0.99146008), (1000, 0.99024081)
12	(1382, 0.98462391), (16, 0.9775551), (2638, 0.97315216), (4451, 0.97305501), (1183, 0.97224712), (2651, 0.97196686), (4172, 0.97179168), (4012, 0.96727026), (2302, 0.96606672), (4598, 0.9659977), (3252, 0.96459579), (1238, 0.96417296), (2351, 0.96390986), (4442, 0.96376622), (1843, 0.96338129), (1087, 0.96307111), (4375, 0.96112424), (374, 0.9597168), (4712, 0.95802379), (787, 0.95629144)
13	(699, 0.98778248), (768, 0.98769516), (613, 0.98453414), (2279, 0.97982329), (436, 0.97933251), (3620, 0.9791925), (1357, 0.97850168), (2733, 0.97848797), (199, 0.9781971), (3907, 0.97811067), (2583, 0.9780457), (1939, 0.97772163), (308, 0.97765684), (1823, 0.97750008), (247, 0.97651446), (3244, 0.97650981), (3767, 0.97639674), (4266, 0.97622943), (1016, 0.97610748), (3710, 0.97609055)
14	(2158, 0.98626649), (890, 0.98263264), (3026, 0.97883451), (4123, 0.97721267), (3864, 0.9714762), (635, 0.9712131), (4423, 0.97104561), (2704, 0.96878099), (2243, 0.96874404), (681, 0.96756363), (2000, 0.96588051), (3707, 0.96584105), (4238, 0.96534121), (3043, 0.965258), (1723, 0.96455574), (4493, 0.96438003), (3191, 0.96346176), (3663, 0.96340996), (4575, 0.96179801), (1448, 0.96156919)
15	(1422, 0.99465156), (4784, 0.99243212), (1347, 0.99227607), (2196, 0.99173975), (1734, 0.99152249), (1297, 0.99102688), (116, 0.99090695), (4654, 0.99058414), (3514, 0.99029332), (2102, 0.99017662), (3473, 0.98968709), (1884, 0.98967046), (465, 0.98928303), (4227, 0.98897839), (835, 0.98879349), (1813, 0.98878467), (3626, 0.98861587), (3388, 0.98838258), (4553, 0.98819458), (3634, 0.98814642)
